Learning_Rate,L1_Norm,index
1.00E-03,5.00E-05,0
1.00E-03,5.00E-04,1
1.00E-03,1.00E-04,2
1.00E-03,5.00E-04,3
1.00E-03,5.00E-05,4
1.00E-03,1.00E-04,5
1.00E-03,5.00E-06,6
1.00E-03,1.00E-04,7
1.00E-03,1.00E-05,8
1.00E-03,1.00E-05,9
1.00E-03,5.00E-03,10
1.00E-03,1.00E-03,11
1.00E-03,5.00E-05,12
1.00E-03,1.00E-03,13
1.00E-03,5.00E-05,14
1.00E-03,1.00E-04,15
1.00E-03,1.00E-03,16
1.00E-03,1.00E-04,17
1.00E-03,1.00E-05,18
1.00E-03,1.00E-04,19
1.00E-03,1.00E-04,20
1.00E-03,1.00E-03,21
1.00E-03,1.00E-03,22
1.00E-03,1.00E-05,23
1.00E-03,5.00E-05,24
1.00E-03,1.00E-03,25
1.00E-03,5.00E-04,26
1.00E-03,1.00E-04,27
1.00E-03,1.00E-05,28
1.00E-03,5.00E-05,29
1.00E-03,5.00E-04,30
1.00E-03,5.00E-05,31
1.00E-03,1.00E-04,32
1.00E-03,5.00E-04,33
1.00E-03,1.00E-03,34
1.00E-03,1.00E-03,35
1.00E-03,5.00E-05,36
1.00E-03,1.00E-04,37
1.00E-03,5.00E-05,38
1.00E-03,1.00E-03,39
